category_en,avg_review_score,total_orders,avg_delivery_delay,total_revenue
books_general_interest,4.511278195488722,495,-12.152985074626866,62763.04
books_imported,4.508771929824562,50,-11.192982456140351,6443.13
costruction_tools_tools,4.444444444444445,97,-12.20388349514563,21069.07
small_appliances_home_oven_and_coffee,4.438356164383562,72,-11.58904109589041,50281.65
books_technical,4.3893129770992365,256,-11.307984790874524,24437.39
food_drink,4.364312267657993,221,-11.613382899628252,26609.43
luggage_accessories,4.352283317800559,1019,-12.619312906220983,185054.2
fashion_shoes,4.2976190476190474,234,-14.734375,31714.98
cine_photo,4.285714285714286,63,-11.32857142857143,9242.84
food,4.261316872427984,440,-9.801204819277109,45244.22
furniture_bedroom,4.252427184466019,90,-13.514563106796116,30057.23
stationery,4.246838025295798,2264,-12.038929440389294,308674.31
small_appliances,4.226646248085758,609,-13.876899696048632,217024.02
home_appliances,4.226364846870839,747,-12.652519893899203,93843.62
musical_instruments,4.221705426356589,611,-11.483870967741936,221118.16
computers,4.219387755102041,177,-11.577889447236181,274671.88
perfumery,4.218181818181818,3060,-12.191482935668983,490050.24
pet_shop,4.216640502354788,1684,-12.494270833333333,306940.5
toys,4.209758551307847,3781,-11.941323345817727,598083.51
fashion_bags_accessories,4.195829094608341,1812,-13.2165991902834,212912.3
cool_stuff,4.194731124388919,3552,-12.431959040689842,743404.14
health_beauty,4.192648787263597,8610,-11.894926767140735,1615989.35
dvds_blu_ray,4.180327868852459,56,-13.360655737704919,6416.99
sports_leisure,4.164712918660287,7512,-11.954594080589564,1346762.17
home_appliances_2,4.156521739130435,227,-12.454545454545455,118854.06
consoles_games,4.137126865671642,1011,-11.571164510166358,180018.83
tablets_printing_image,4.1234567901234565,79,-12.771084337349398,10042.93
industry_commerce_and_business,4.120622568093385,228,-12.103846153846154,54275.79
drinks,4.119113573407202,287,-11.529085872576177,68909.73
auto,4.116870415647922,3801,-11.388283708545146,832259.57
costruction_tools_garden,4.116379310344827,190,-13.543103448275861,41506.7
housewares,4.109727164887307,5734,-12.257113371664456,1067051.45
signaling_and_security,4.091836734693878,138,-12.705583756345177,68263.59
construction_tools_construction,4.088913282107574,736,-11.62117903930131,237873.48
agro_industry_and_commerce,4.087378640776699,177,-11.46116504854369,115632.24
garden_tools,4.083116883116883,3443,-11.937133474079287,809149.74
construction_tools_lights,4.082191780821918,242,-11.222591362126245,70343.2
art,4.082051282051282,195,-12.776649746192893,28498.45
baby,4.0783582089552235,2800,-11.556714910804443,523702.51
watches_gifts,4.070924427612326,5489,-11.908081325815822,1384252.6
christmas_supplies,4.06993006993007,125,-12.053333333333333,18893.4
electronics,4.066814322628276,2516,-11.129032258064516,245749.74
fashion_underwear_beach,4.0476190476190474,117,-10.929133858267717,12416.82
air_conditioning,4.0398550724637685,242,-13.896797153024911,84976.89
market_place,4.037671232876712,269,-13.710884353741497,40097.13
kitchen_dining_laundry_garden_furniture,4.033088235294118,241,-12.430656934306569,73406.15
telephony,3.9943130118289356,4086,-11.327679782903664,469447.48
computers_accessories,3.9895984200131664,6517,-12.380684051893592,1548390.63
construction_tools_safety,3.967032967032967,159,-12.387978142076502,60932.07
furniture_decor,3.9589570858283434,6258,-12.176281655342803,1383767.32
home_construction,3.95777027027027,483,-11.557046979865772,134616.24
unknown,3.937623112278398,1390,-11.377198697068405,240899.96
furniture_living_room,3.9346938775510205,414,-11.8,134299.11
bed_bath_table,3.9252517786196064,9267,-11.636363636363637,1690422.57
home_confort,3.8618266978922717,392,-9.811188811188812,83694.01
audio,3.8286516853932584,346,-9.969444444444445,59997.97
fashion_male_clothing,3.7804878048780486,105,-12.612903225806452,16687.6
fixed_telephony,3.7530364372469633,207,-14.364,191563.94
office_furniture,3.522134627046695,1248,-11.832731648616125,634537.33
