customer_state,total_revenue,total_orders,unique_customers,aov,orders_per_customer
SP,7385957.69,40399,39058,182.82526027871978,1.034333555225562
RJ,2678618.17,12310,11879,217.59692688870837,1.036282515363246
MG,2275773.28,11319,10969,201.0578036929057,1.0319081046585832
RS,1107884.36,5327,5150,207.9752881546837,1.034368932038835
PR,1024847.36,4903,4750,209.024548235774,1.0322105263157895
BA,772861.01,3253,3155,237.58407931140485,1.0310618066561015
SC,762412.95,3537,3441,215.55356234096692,1.027898866608544
GO,492012.58,1950,1889,252.3141435897436,1.0322922181048173
DF,419876.15,2074,2013,202.4475168756027,1.0303030303030303
ES,397330.09,1992,1925,199.4628965863454,1.0348051948051948
PE,359484.12,1587,1545,226.51803402646502,1.0271844660194174
CE,331520.79,1273,1252,260.4248153967007,1.016773162939297
PA,253020.49,942,918,268.5992462845011,1.026143790849673
MT,251301.6,885,855,283.9566101694915,1.0350877192982457
MA,190953.78,713,696,267.81736325385697,1.0244252873563218
PB,177295.85,516,503,343.5966085271318,1.025844930417495
MS,162748.16,701,681,232.16570613409417,1.0293685756240822
PI,133401.72,475,463,280.8457263157895,1.0259179265658747
RN,113736.06,470,460,241.9916170212766,1.0217391304347827
AL,108348.47,396,386,273.60724747474745,1.0259067357512954
SE,85348.4,332,326,257.0734939759036,1.01840490797546
TO,70934.12,274,267,258.8836496350365,1.0262172284644195
RO,65200.66,243,231,268.31547325102883,1.051948051948052
AM,34503.04,145,140,237.952,1.0357142857142858
AC,24890.49,80,76,311.131125,1.0526315789473684
AP,21521.71,67,66,321.21955223880593,1.0151515151515151
RR,11231.86,40,39,280.79650000000004,1.0256410256410255
